======================================================================================================================
   TRAFFIC LIGHT MFG EXAMPLE (Picard)
======================================================================================================================
Parameters:
  xmin = 0.0, xmax = 1.0
  T    = 1.0, Nx = 200, Nt = 100
  nu   = 0.02, beta = 2, penalty = 150.0
Solver Parameters:
  PICARD_MAX_ITER = 250, PICARD_TOL = 1e-06
  DAMPING = 0.1
  NEWTON_MAX_ITER = 20, NEWTON_TOL = 1e-09
Grid Info:
  dt = 0.010000, dx = 0.005000
Problem Specific Parameters:
  light_position = 0.5, light_active_interval = [0.3, 0.7]
  light_penalty = 150.0, light_width = 0.05
  Hamiltonian = Godunov discretization of 0.5*p^2, boundary = conservative homogeneous Neumann
  initial_density = normalized exp(-(x-0.1)^2/0.01)
  terminal_cost = 5.0*(x-1.0)^2
----------------------------------------------------------------------------------------------------------------------
Iter  | Abs Err U    | Rel Err U    | Abs Err M    | Rel Err M    | Newton It  | Time (s)  
65    | 1.8972e-03   | 1.1572e-03   | 3.1327e-03   | 2.6171e-03   | 412        | 0.1682
66    | 1.7128e-03   | 1.0436e-03   | 2.8418e-03   | 2.3741e-03   | 413        | 0.1659
67    | 1.5419e-03   | 9.3863e-04   | 3.1557e-03   | 2.6367e-03   | 412        | 0.1831
68    | 1.4086e-03   | 8.5672e-04   | 3.0886e-03   | 2.5809e-03   | 409        | 0.1813
69    | 1.3144e-03   | 7.9886e-04   | 2.4908e-03   | 2.0815e-03   | 406        | 0.1758
70    | 1.2172e-03   | 7.3926e-04   | 1.8625e-03   | 1.5565e-03   | 406        | 0.1600
71    | 1.0834e-03   | 6.5760e-04   | 1.7855e-03   | 1.4922e-03   | 404        | 0.1618
72    | 9.3396e-04   | 5.6662e-04   | 1.9219e-03   | 1.6061e-03   | 405        | 0.1635
73    | 8.2394e-04   | 4.9963e-04   | 1.7504e-03   | 1.4628e-03   | 405        | 0.1624
74    | 7.6861e-04   | 4.6587e-04   | 1.3223e-03   | 1.1050e-03   | 407        | 0.1644
75    | 7.2549e-04   | 4.3955e-04   | 1.0865e-03   | 9.0789e-04   | 408        | 0.1727
76    | 6.6291e-04   | 4.0148e-04   | 1.2207e-03   | 1.0200e-03   | 408        | 0.1798
77    | 5.9228e-04   | 3.5858e-04   | 1.2972e-03   | 1.0840e-03   | 408        | 0.1792
78    | 5.3797e-04   | 3.2560e-04   | 1.1115e-03   | 9.2886e-04   | 408        | 0.1799
79    | 4.9885e-04   | 3.0183e-04   | 7.7430e-04   | 6.4708e-04   | 408        | 0.1797
80    | 4.5272e-04   | 2.7385e-04   | 5.8428e-04   | 4.8829e-04   | 407        | 0.1768
81    | 3.9014e-04   | 2.3594e-04   | 6.5327e-04   | 5.4595e-04   | 407        | 0.1762
82    | 3.2624e-04   | 1.9726e-04   | 6.8825e-04   | 5.7518e-04   | 407        | 0.1659
83    | 2.8200e-04   | 1.7049e-04   | 5.7757e-04   | 4.8268e-04   | 407        | 0.1616
84    | 2.5760e-04   | 1.5571e-04   | 4.1745e-04   | 3.4887e-04   | 407        | 0.1627
85    | 2.3717e-04   | 1.4334e-04   | 3.7646e-04   | 3.1461e-04   | 407        | 0.1854
86    | 2.1473e-04   | 1.2977e-04   | 4.2187e-04   | 3.5256e-04   | 407        | 0.1708
87    | 1.9704e-04   | 1.1906e-04   | 4.0847e-04   | 3.4136e-04   | 407        | 0.1843
88    | 1.8720e-04   | 1.1310e-04   | 3.1981e-04   | 2.6727e-04   | 407        | 0.1751
89    | 1.7747e-04   | 1.0721e-04   | 2.3703e-04   | 1.9809e-04   | 407        | 0.1635
90    | 1.6044e-04   | 9.6918e-05   | 2.3969e-04   | 2.0031e-04   | 407        | 0.1665
91    | 1.3815e-04   | 8.3447e-05   | 2.6031e-04   | 2.1754e-04   | 407        | 0.1639
92    | 1.1894e-04   | 7.1834e-05   | 2.3057e-04   | 1.9269e-04   | 407        | 0.1729
93    | 1.0708e-04   | 6.4671e-05   | 1.6528e-04   | 1.3812e-04   | 407        | 0.1782
94    | 9.8262e-05   | 5.9340e-05   | 1.3618e-04   | 1.1381e-04   | 407        | 0.1689
95    | 8.7934e-05   | 5.3100e-05   | 1.6469e-04   | 1.3763e-04   | 407        | 0.1696
