x u_star u_num
2.200000e-01 2.275565e+00 2.343878e+00
2.400000e-01 2.282465e+00 2.350767e+00
2.600000e-01 2.289965e+00 2.358254e+00
2.800000e-01 2.298065e+00 2.366336e+00
3.000000e-01 2.306765e+00 2.375015e+00
3.200000e-01 2.316065e+00 2.384290e+00
3.400000e-01 2.325965e+00 2.394160e+00
3.600000e-01 2.336465e+00 2.404626e+00
3.800000e-01 2.347565e+00 2.415686e+00
4.000000e-01 2.359265e+00 2.427340e+00
4.200000e-01 2.371565e+00 2.439589e+00
4.400000e-01 2.384465e+00 2.452432e+00
4.600000e-01 2.397965e+00 2.465868e+00
4.800000e-01 2.412065e+00 2.479897e+00
5.000000e-01 2.426765e+00 2.494519e+00
5.200000e-01 2.442065e+00 2.509733e+00
5.400000e-01 2.457965e+00 2.525540e+00
5.600000e-01 2.474465e+00 2.541938e+00
5.800000e-01 2.491565e+00 2.558929e+00
6.000000e-01 2.509265e+00 2.576510e+00
6.200000e-01 2.527565e+00 2.594683e+00
6.400000e-01 2.546465e+00 2.613446e+00
6.600000e-01 2.565965e+00 2.632800e+00
6.800000e-01 2.586065e+00 2.652745e+00
7.000000e-01 2.606765e+00 2.673279e+00
7.200000e-01 2.628065e+00 2.694403e+00
7.400000e-01 2.649965e+00 2.716116e+00
7.600000e-01 2.672465e+00 2.738419e+00
7.800000e-01 2.695565e+00 2.761310e+00
8.000000e-01 2.719265e+00 2.784791e+00
8.200000e-01 2.743565e+00 2.808860e+00
8.400000e-01 2.768465e+00 2.833517e+00
8.600000e-01 2.793965e+00 2.858763e+00
8.800000e-01 2.820065e+00 2.884596e+00
9.000000e-01 2.846765e+00 2.911017e+00
9.200000e-01 2.874065e+00 2.938026e+00
9.400000e-01 2.901965e+00 2.965622e+00
9.600000e-01 2.930465e+00 2.993806e+00
9.800000e-01 2.959565e+00 3.022576e+00
1.000000e+00 2.989265e+00 3.051934e+00
1.020000e+00 3.019565e+00 3.081878e+00
1.040000e+00 3.050465e+00 3.112409e+00
1.060000e+00 3.081965e+00 3.143526e+00
1.080000e+00 3.114065e+00 3.175230e+00
1.100000e+00 3.146765e+00 3.207519e+00
1.120000e+00 3.180065e+00 3.240395e+00
1.140000e+00 3.213965e+00 3.273857e+00
1.160000e+00 3.248465e+00 3.307904e+00
1.180000e+00 3.283565e+00 3.342537e+00
1.200000e+00 3.319265e+00 3.377755e+00
