x,rho_0.1,rho_0.05,rho_0.01,rho_0.005,rho_0.001,rho_0.0005,rho_0.0001
-0.09999999999999987,2.600147133230259,2.611909494963051,2.6166327461200676,2.6168046488738748,2.6168636189502856,2.6168659315732303,2.616866959828325
-0.08000000000000007,2.600061027769938,2.6118647560466286,2.616623700297683,2.616800125879144,2.6168627145448746,2.6168654793891766,2.6168668693947104
-0.06000000000000005,2.5999940567064046,2.6118299587022893,2.6166166645059263,2.616796607913392,2.616862011101452,2.6168651276819213,2.616866799055738
-0.040000000000000036,2.599946219865936,2.611805103082536,2.616611638827312,2.616794095021549,2.6168615086296056,2.616864876456298,2.6168667488123782
-0.020000000000000018,2.5999175173861584,2.61179018943758,2.616608623349652,2.6167925872501474,2.6168612071390682,2.616864725717198,2.6168667186656163
0.0,2.599907949715881,2.611785218115287,2.6166076181660514,2.6167920846473156,2.616861106639722,2.6168646754695803,2.6168667086164454
0.020000000000000018,2.5999175173861584,2.611790189437581,2.6166086233496504,2.616792587250149,2.616861207139069,2.6168647257171997,2.6168667186656176
0.040000000000000036,2.5999462198659358,2.611805103082538,2.6166116388273095,2.616794095021552,2.616861508629606,2.6168648764562996,2.61686674881238
0.06000000000000005,2.599994056706404,2.611829958702292,2.616616664505922,2.6167966079133946,2.616862011101453,2.616865127681925,2.61686679905574
0.08000000000000007,2.6000610277699368,2.6118647560466326,2.6166237002976773,2.6168001258791476,2.6168627145448755,2.6168654793891797,2.616866869394713
0.10000000000000009,2.6001471332302573,2.611909494963056,2.6166327461200605,2.6168046488738783,2.616863618950286,2.616865931573234,2.616866959828328
0.1200000000000001,2.600252373572701,2.611964175396846,2.616643801895861,2.6168101768542558,2.6168647243082437,2.6168664842293174,2.6168670703556223
0.14000000000000012,2.600376749594572,2.6120287973911855,2.616656867553173,2.6168167097785493,2.6168660306094553,2.616867137352723,2.616867200975645
0.16000000000000014,2.600520262405595,2.6121033610872977,2.6166719430254073,2.6168242476066337,2.6168675378447737,2.6168678909388086,2.6168673516874565
0.18000000000000016,2.600682913428457,2.6121878667246174,2.616689028251296,2.61683279029999,2.6168692460052,2.61686874498299,2.616867522490128
0.20000000000000018,2.6008647043994526,2.6122823146409946,2.6167081231749076,2.616842337821709,2.6168711550818835,2.6168696994807488,2.6168677133827387
0.2200000000000002,2.6010656373692163,2.612386705272925,2.6167292277456555,2.616852890136495,2.6168732650661193,2.6168707544276306,2.6168679243643824
0.2400000000000002,2.6012857147035526,2.6125010391558114,2.616752341918317,2.6168644472106695,2.616875575949353,2.6168719098192406,2.6168681554341613
0.26000000000000023,2.601524939084367,2.6126253169242615,2.616777465653042,2.616877009012177,2.6168780877231783,2.61687316565125,2.616868406591189
0.28000000000000025,2.601783313510686,2.6127595393124072,2.6168045989153734,2.616890575510589,2.6168808003793385,2.616874521919395,2.616868677834591
0.30000000000000027,2.60206084129978,2.6129037071542633,2.616833741676269,2.61690514667711,2.616883713909726,2.6168759786194706,2.6168689691635016
0.31999999999999984,2.6023575260883804,2.613057821384112,2.6168648939121164,2.616920722484585,2.616886828306384,2.6168775357473395,2.616869280577069
0.33999999999999986,2.6026733718339976,2.6132218830369185,2.6168980556047594,2.616937302907502,2.6168901435615073,2.616879193298927,2.6168696120744506
0.3599999999999999,2.6030083828163333,2.6133958932487853,2.616933226741519,2.616954887922004,2.616893659667441,2.616880951270224,2.616869963654815
0.3799999999999999,2.6033625636388007,2.613579853257429,2.6169704073152196,2.6169734775058955,2.6168973766166825,2.616882809657286,2.6168703353173415
0.3999999999999999,2.603735919230138,2.613773764402694,2.6170095973242185,2.616993071638646,2.6169012944018837,2.616884768456232,2.6168707270612224
0.41999999999999993,2.604128454846126,2.6139776281271,2.6170507967724315,2.617013670301406,2.616905413015848,2.6168868276632464,2.616871138885659
0.43999999999999995,2.6045401760714064,2.614191445976415,2.6170940056693643,2.617035273477011,2.6169097324515347,2.61688898727458,2.616871570789865
0.45999999999999996,2.604971088821407,2.6144152196002723,2.617139224030148,2.6170578811499916,2.616914252702059,2.616891247286551,2.6168720227730637
0.48,2.60542119934437,2.614648950752809,2.6171864518755696,2.6170814933065873,2.616918973760691,2.6168936076955416,2.6168724948344932
0.5,2.6058905142234816,2.614892641293348,2.6172356892321087,2.6171061099347526,2.6169238956208596,2.616896068498003,2.6168729869734006
0.52,2.6063790403791156,2.615146293187106,2.617286936131977,2.6171317310241715,2.6169290182761515,2.6168986296904526,2.6168734991890457
0.54,2.606886785071177,2.615409908505942,2.617340192613155,2.6171583565662684,2.616934341720313,2.616901291269476,2.616874031480699
0.56,2.607413755901564,2.615683489429138,2.617395458719438,2.61718598655422,2.6169398659472503,2.6169040532317265,2.6168745838476433
0.5800000000000001,2.607959960816729,2.6159670382442104,2.6174527345004748,2.617214620982969,2.6169455909510324,2.6169069155739266,2.6168751562891734
0.6000000000000001,2.608525408110363,2.6162605573477684,2.617512020011815,2.6172442598492376,2.6169515167258908,2.6169098782928684,2.616875748804594
0.6200000000000001,2.6091101064261863,2.616564049246397,2.6175733153149556,2.617274903151541,2.6169576432662205,2.6169129413854124,2.616876361393224
0.6400000000000001,2.609714064760855,2.616877516557581,2.61763662047739,2.617306550890203,2.6169639705665837,2.616916104848493,2.6168769940543952
0.6600000000000001,2.6103372924669888,2.617200962010667,2.6177019355726596,2.617339203067368,2.6169704986217086,2.6169193686791106,2.6168776467874486
0.6800000000000002,2.610979799256309,2.617534388447863,2.6177692606804066,2.6173728596870247,2.616977227426491,2.61692273287434,2.6168783195917404
0.7000000000000002,2.6116415952029044,2.617877798825274,2.6178385958864276,2.617407520755012,2.6169841569759975,2.6169261974313285,2.616879012466637
0.7200000000000002,2.612322690746616,2.6182311962139764,2.617909941282733,2.6174431862790444,2.6169912872654657,2.6169297623472936,2.616879725411518
0.7400000000000002,2.613023096696543,2.6185945838011353,2.6179832969676045,2.6174798562687274,2.6169986182903062,2.616933427619529,2.6168804584257765
0.7600000000000002,2.61374282423468,2.6189679648911586,2.6180586630456553,2.6175175307355727,2.617006150046105,2.6169371932454024,2.6168812115088174
0.7800000000000002,2.6144818849196767,2.61935134290689,2.618136039627897,2.617556209693022,2.6170138825286235,2.616941059222354,2.6168819846600586
0.8000000000000003,2.6152402906907315,2.6197447213908482,2.6182154268318016,2.6175958931564627,2.617021815733802,2.6169450255479014,2.6168827778789314
0.8199999999999998,2.6160180538716147,2.620148104006505,2.61829682478137,2.617636581143251,2.617029949657761,2.6169490922196403,2.6168835911648793
0.8399999999999999,2.6168151871748293,2.6205614945396034,2.618380233607202,2.61767827367273,2.6170382842968016,2.616953259235241,2.6168844245173597
0.8599999999999999,2.6176317037059045,2.620984896899526,2.6184656534465724,2.6177209707662548,2.61704681964741,2.6169575265924525,2.616885277935844
0.8799999999999999,2.6184676169678336,2.6214183151207022,2.6185530844434965,2.6177646724472106,2.617055555706259,2.6169618942891053,2.616886151419816
0.8999999999999999,2.619322940865649,2.62186175336406,2.6186425267488165,2.6178093787410393,2.6170644924702056,2.6169663623231063,2.6168870449687742
0.9199999999999999,2.620197689711148,2.622315215918528,2.6187339805202745,2.617855089675263,2.617073629936301,2.616970930692445,2.616887958582229
0.94,2.621091878227756,2.622778707202581,2.6188274459225984,2.617901805279505,2.6170829681017858,2.616975599395192,2.6168888922597073
0.96,2.6220055215555558,2.623252231765831,2.6189229231275837,2.6179495255855194,2.617092506964098,2.6169803684295,2.616889846000749
0.98,2.622938635256453,2.623735794290673,2.6190204123141796,2.617998250627214,2.617102246520869,2.6169852377936063,2.6168908198049077
